Dataset,Target_Modules,Rank,Accuracy,Std
DTD,"P,F1,F2",32,81.8,0.1
DTD,"Q,K,V,P",4,81.6,0.7
DTD,"Q,K,V,P",8,81.9,1.1
DTD,"Q,K,V,P",16,82.3,1.2
DTD,"Q,K,V,P",32,82.4,0.4
DTD,"Q,K,V,P,F1,F2",4,81.7,0.2
DTD,"Q,K,V,P,F1,F2",8,81.8,0.6
DTD,"Q,K,V,P,F1,F2",16,81.8,0.8
DTD,"Q,K,V,P,F1,F2",32,82.1,0.2
FGVC-Aircraft,Q,4,55.5,0.4
FGVC-Aircraft,Q,8,58.3,0.3
FGVC-Aircraft,Q,16,61.2,1.1
FGVC-Aircraft,Q,32,64.1,0.2
FGVC-Aircraft,K,4,55.4,1.2
FGVC-Aircraft,K,8,58.1,0.9
FGVC-Aircraft,K,16,60.9,1.2
FGVC-Aircraft,K,32,64.3,0.3
FGVC-Aircraft,V,4,59.7,1.7
FGVC-Aircraft,V,8,62.3,1.5
FGVC-Aircraft,V,16,65.7,1.4
FGVC-Aircraft,V,32,69.4,0.8
FGVC-Aircraft,P,4,60.8,1.3
FGVC-Aircraft,P,8,63.3,1.5
FGVC-Aircraft,P,16,66.9,1.5
FGVC-Aircraft,P,32,70.2,0.8
FGVC-Aircraft,F1,4,67.7,1.1
FGVC-Aircraft,F1,8,70.3,1.4
FGVC-Aircraft,F1,16,73.1,1.2
FGVC-Aircraft,F1,32,75.9,1.1
FGVC-Aircraft,"Q,K",4,58.8,0.6
FGVC-Aircraft,"Q,K",8,61.6,1.0
FGVC-Aircraft,"Q,K",16,64.7,0.7
FGVC-Aircraft,"Q,K",32,67.1,0.6
FGVC-Aircraft,"Q,V",4,62.9,1.1
FGVC-Aircraft,"Q,V",8,66.0,1.1
FGVC-Aircraft,"Q,V",16,69.2,1.6
FGVC-Aircraft,"Q,V",32,72.4,1.5
FGVC-Aircraft,"F1,F2",4,68.8,1.7
FGVC-Aircraft,"F1,F2",8,71.8,0.9
FGVC-Aircraft,"F1,F2",16,74.1,0.7
FGVC-Aircraft,"F1,F2",32,76.8,0.9
FGVC-Aircraft,"Q,K,V",4,64.5,1.1
FGVC-Aircraft,"Q,K,V",8,67.3,1.1
FGVC-Aircraft,"Q,K,V",16,70.3,1.1
FGVC-Aircraft,"Q,K,V",32,73.6,1.6
FGVC-Aircraft,"P,F1,F2",4,69.7,0.9
FGVC-Aircraft,"P,F1,F2",8,72.7,1.2
FGVC-Aircraft,"P,F1,F2",16,75.9,0.9
FGVC-Aircraft,"P,F1,F2",32,78.4,1.1
FGVC-Aircraft,"Q,K,V,P",4,66.9,1.1
FGVC-Aircraft,"Q,K,V,P",8,70.0,1.2
FGVC-Aircraft,"Q,K,V,P",16,73.1,1.5
FGVC-Aircraft,"Q,K,V,P",32,76.3,0.5
FGVC-Aircraft,"Q,K,V,P,F1,F2",4,71.7,0.8
FGVC-Aircraft,"Q,K,V,P,F1,F2",8,74.5,0.9
FGVC-Aircraft,"Q,K,V,P,F1,F2",16,77.3,1.1
FGVC-Aircraft,"Q,K,V,P,F1,F2",32,79.8,0.6
